Fish ID,Fish Name,Affected Structure or Process 1 superterm Name,Publication ID,Gene Symbol,tissue_system
ZDB-FISH-160908-10,TU + MO2-mybpc2b,skeletal muscle cell,ZDB-PUB-160330-7,mybpc2b,Skeletal
ZDB-FISH-160908-10,TU + MO2-mybpc2b,trunk,ZDB-PUB-160330-7,mybpc2b,Skeletal
ZDB-FISH-160908-10,TU + MO2-mybpc2b,pericardium,ZDB-PUB-160330-7,mybpc2b,Circulatory
ZDB-FISH-160908-10,TU + MO2-mybpc2b,whole organism,ZDB-PUB-160330-7,mybpc2b,Whole organism
ZDB-FISH-160913-4,WT + MO1-nansa,embryonic skeletal system development,ZDB-PUB-160524-3,nansa,Embryo
ZDB-FISH-160913-4,WT + MO1-nansa,pericardium,ZDB-PUB-160524-3,nansa,Circulatory
ZDB-FISH-160913-4,WT + MO1-nansa,head,ZDB-PUB-160524-3,nansa,Skeletal
ZDB-FISH-160913-4,WT + MO1-nansa,Meckel's cartilage,ZDB-PUB-160524-3,nansa,Skeletal
ZDB-FISH-160913-4,WT + MO1-nansa,palatoquadrate cartilage,ZDB-PUB-160524-3,nansa,Skeletal
ZDB-FISH-160913-4,WT + MO1-nansa,ethmoid cartilage,ZDB-PUB-160524-3,nansa,Skeletal
ZDB-FISH-160913-4,WT + MO1-nansa,parachordal cartilage,ZDB-PUB-160524-3,nansa,Skeletal
ZDB-FISH-160913-4,WT + MO1-nansa,trabecula cranii,ZDB-PUB-160524-3,nansa,Skeletal
ZDB-FISH-160913-4,WT + MO1-nansa,basihyal cartilage,ZDB-PUB-160524-3,nansa,Skeletal
ZDB-FISH-160913-4,WT + MO1-nansa,ceratobranchial cartilage,ZDB-PUB-160524-3,nansa,Skeletal
ZDB-FISH-230824-7,nfasca<sup>tum112/tum112</sup>,neuron,ZDB-PUB-220217-6,nfasca,Nervous
ZDB-FISH-230824-8,nfasca<sup>tum112/tum112</sup>; tum101Tg/tum101Tg,myelin accumulating cell,ZDB-PUB-220217-6,nfasca,Nervous
ZDB-FISH-230824-8,nfasca<sup>tum112/tum112</sup>; tum101Tg/tum101Tg,myelinating Schwann cell,ZDB-PUB-220217-6,nfasca,Nervous
ZDB-FISH-200507-56,nfkb1<sup>a305/a305</sup>,startle response,ZDB-PUB-190402-7,nfkb1,Whole organism
ZDB-FISH-150911-33,s896Tg; zf169Tg + CRISPR1-nfkb2 + CRISPR2-nfkb2 + CRISPR3-nfkb2 + CRISPR4-nfkb2 + CRISPR5-nfkb2,ventral wall of dorsal aorta,ZDB-PUB-141230-19,nfkb2,Circulatory
ZDB-FISH-150911-37,la2Tg + CRISPR1-nfkb2 + CRISPR2-nfkb2 + CRISPR3-nfkb2 + CRISPR4-nfkb2 + CRISPR5-nfkb2,intermediate cell mass of mesoderm,ZDB-PUB-141230-19,nfkb2,Circulatory
ZDB-FISH-171116-13,y1Tg + MO2-nfkb2,trunk,ZDB-PUB-170809-8,nfkb2,Skeletal
ZDB-FISH-171116-13,y1Tg + MO2-nfkb2,intersegmental vessel,ZDB-PUB-170809-8,nfkb2,Circulatory
ZDB-FISH-191211-9,WT + MO2-nfkb2,whole organism,ZDB-PUB-180810-8,nfkb2,Whole organism
ZDB-FISH-191211-9,WT + MO2-nfkb2,hatching,ZDB-PUB-180810-8,nfkb2,Embryo
ZDB-FISH-150901-10589,AB + MO1-nipbla,pericardium,ZDB-PUB-111114-19,nipbla,Circulatory
ZDB-FISH-150901-10589,AB + MO1-nipbla,post-vent region,ZDB-PUB-111114-19,nipbla,Circulatory
ZDB-FISH-150901-10589,AB + MO1-nipbla,blood circulation,ZDB-PUB-111114-19,nipbla,Circulatory
ZDB-FISH-150901-14272,AB + MO1-nipbla + MO1-nipblb,left/right pattern formation,ZDB-PUB-111114-19,nipbla,Embryo
ZDB-FISH-150901-14272,AB + MO1-nipbla + MO1-nipblb,whole organism,ZDB-PUB-111114-19,nipbla,Whole organism
ZDB-FISH-150901-14272,AB + MO1-nipbla + MO1-nipblb,heart looping,ZDB-PUB-111114-19,nipbla,Circulatory
ZDB-FISH-150901-14272,AB + MO1-nipbla + MO1-nipblb,heart jogging,ZDB-PUB-111114-19,nipbla,Circulatory
ZDB-FISH-150901-14272,AB + MO1-nipbla + MO1-nipblb,cardioblast migration,ZDB-PUB-111114-19,nipbla,Circulatory
ZDB-FISH-150901-14272,AB + MO1-nipbla + MO1-nipblb,heart tube,ZDB-PUB-111114-19,nipbla,Circulatory
ZDB-FISH-150901-14272,AB + MO1-nipbla + MO1-nipblb,nucleate erythrocyte,ZDB-PUB-111114-19,nipbla,Circulatory
ZDB-FISH-150901-14272,AB + MO1-nipbla + MO1-nipblb,gut,ZDB-PUB-111114-19,nipbla,Digestive
ZDB-FISH-150901-14272,AB + MO1-nipbla + MO1-nipblb,cloacal chamber,ZDB-PUB-111114-19,nipbla,Digestive
ZDB-FISH-150901-14272,AB + MO1-nipbla + MO1-nipblb,hyosymplectic cartilage,ZDB-PUB-111114-19,nipbla,Skeletal
ZDB-FISH-150901-14272,AB + MO1-nipbla + MO1-nipblb,pectoral fin bud,ZDB-PUB-140926-2,nipbla,Skeletal
ZDB-FISH-150901-14272,AB + MO1-nipbla + MO1-nipblb,apical ectodermal ridge pectoral fin bud,ZDB-PUB-140926-2,nipbla,Skeletal
ZDB-FISH-150901-14272,AB + MO1-nipbla + MO1-nipblb,positive regulation of DNA-templated transcription,ZDB-PUB-140926-2,nipbla,Cell process
ZDB-FISH-150901-14272,AB + MO1-nipbla + MO1-nipblb,embryonic pectoral fin morphogenesis,ZDB-PUB-140926-2,nipbla,Embryo
ZDB-FISH-150901-14272,AB + MO1-nipbla + MO1-nipblb,pectoral fin endoskeletal disc,ZDB-PUB-140926-2,nipbla,Skeletal
ZDB-FISH-150901-14272,AB + MO1-nipbla + MO1-nipblb,pectoral fin cartilage,ZDB-PUB-140926-2,nipbla,Skeletal
ZDB-FISH-150901-14272,AB + MO1-nipbla + MO1-nipblb,pectoral fin,ZDB-PUB-140926-2,nipbla,Skeletal
ZDB-FISH-150901-14272,AB + MO1-nipbla + MO1-nipblb,fin fold pectoral fin bud,ZDB-PUB-140926-2,nipbla,Skeletal
ZDB-FISH-160217-1,WT + MO1-nipbla + MO1-nipblb,translation,ZDB-PUB-141108-5,nipbla,Cell process
ZDB-FISH-160217-1,WT + MO1-nipbla + MO1-nipblb,cell population proliferation,ZDB-PUB-141108-5,nipbla,Cell process
ZDB-FISH-160217-1,WT + MO1-nipbla + MO1-nipblb,rRNA transcription,ZDB-PUB-141108-5,nipbla,Cell process
